FY of Arrival,CY of Arrival,CY of birth,Age at Arrival,Gender,Country of Birth,Arrival From,Nativity/Culture
2017,2017,2010,7,M,AF,AF,AF
2017,2017,1986,31,M,AF,AF,AF
2017,2017,1987,30,F,AF,AF,AF
2017,2017,2012,5,F,AF,AF,AF
2017,2017,1984,33,M,AF,AF,AF
2017,2017,1989,28,F,AF,AF,AF
2017,2017,2014,3,M,AF,AF,AF
2017,2017,2016,0,F,AF,AF,AF
2017,2017,1986,31,M,AF,AF,AF
2017,2017,1992,25,F,AF,AF,AF
2017,2017,2016,1,F,AF,AF,AF
2017,2017,2011,5,F,AF,AF,AF
2017,2017,2000,16,M,AF,ID,AF
2017,2017,2007,9,M,AF,TU,AF
2017,2017,2005,12,M,AF,TU,AF
2017,2017,1998,19,M,AF,TU,AF
2017,2017,1997,20,M,AF,TU,AF
2017,2017,1981,36,M,AF,PK,AF
2017,2017,1985,32,F,AF,PK,AF
2017,2017,2002,15,M,AF,PK,AF
2017,2017,2006,11,F,AF,PK,AF
2017,2017,2009,8,F,AF,PK,AF
2017,2017,2011,6,F,AF,PK,AF
2017,2017,2013,4,M,AF,PK,AF
2017,2017,1950,67,F,AF,PK,AF
2017,2017,1986,30,M,AF,AF,AF
2017,2017,1990,27,F,AF,AF,AF
2017,2017,2010,7,F,AF,AF,AF
2017,2017,2014,3,F,AF,AF,AF
2017,2017,2015,1,M,AF,AF,AF
2017,2017,1978,38,M,AF,AF,AF
2017,2017,1987,29,F,AF,AF,AF
2017,2017,2009,7,F,AF,AF,AF
2017,2017,1993,23,M,AF,AF,AF
2017,2017,1997,20,F,AF,AF,AF
2017,2017,1992,25,F,AF,AF,AF
2017,2017,2015,2,M,AF,AF,AF
2017,2017,1987,30,M,AF,AF,AF
2017,2017,2015,2,F,AF,AF,AF
2017,2017,1994,23,F,AF,AF,AF
2017,2017,1994,23,F,AF,RS,AF
2017,2017,1975,42,M,AF,AF,AF
2017,2017,1985,32,F,AF,AF,AF
2017,2017,2013,3,F,AF,AF,AF
2017,2017,2008,9,M,AF,AF,AF
2017,2017,2004,13,F,AF,AF,AF
2017,2016,1987,29,M,AF,AF,AF
2017,2016,1994,22,F,AF,AF,AF
2017,2016,1998,18,M,AF,AF,AF
2017,2016,1998,18,M,AF,MY,AF
2017,2016,1987,30,M,AF,AF,AF
2017,2016,1988,28,F,AF,AF,AF
2017,2016,2015,2,M,AF,AF,AF
2017,2016,1971,45,M,AF,AJ,AF
2017,2016,1976,41,F,AF,AF,AF
2017,2016,1996,20,F,AF,AF,AF
2017,2016,1997,20,F,AF,AF,AF
2017,2016,1998,18,M,AF,AF,AF
2017,2016,1999,17,M,AF,AF,AF
2017,2016,2002,14,M,AF,AF,AF
2017,2016,2003,13,M,AF,AF,AF
2017,2017,2017,0,M,AF,AF,AF
2017,2017,1979,38,M,AF,AF,AF
2017,2017,1982,35,F,AF,AF,AF
2017,2017,2000,17,F,AF,AF,AF
2017,2017,2002,15,M,AF,AF,AF
2017,2017,2010,7,F,AF,AF,AF
2017,2017,2014,3,M,AF,AF,AF
2017,2017,2015,2,M,AF,AF,AF
2017,2017,1982,35,M,AF,AF,AF
2017,2017,1992,25,F,AF,AF,AF
2017,2017,2014,3,M,AF,AF,AF
2017,2017,1971,46,M,AF,AF,AF
2017,2017,1993,24,F,AF,AF,AF
2017,2017,2008,9,M,AF,AF,AF
2017,2017,2011,6,M,AF,AF,AF
2017,2017,2016,1,F,AF,AF,AF
2017,2017,2014,3,M,AF,AF,AF
2017,2017,1984,33,M,AF,AF,AF
2017,2017,1983,34,M,AF,AF,AF
2017,2017,1992,25,F,AF,AF,AF
2017,2017,2015,2,F,AF,AF,AF
2017,2017,2011,6,F,AF,AF,AF
2017,2017,1978,39,M,AF,AF,AF
2017,2017,1988,30,F,AF,AF,AF
2017,2017,2005,13,F,AF,AF,AF
2017,2017,2007,10,M,AF,AF,AF
2017,2017,2011,6,F,AF,AF,AF
2017,2017,2015,2,M,AF,AF,AF
2017,2017,1960,58,M,AF,AF,AF
2017,2017,1964,54,F,AF,PK,AF
2017,2017,1998,20,M,AF,PK,AF
2017,2017,1996,22,M,AF,PK,AF
2017,2017,2003,15,M,AF,PK,AF
2017,2017,1967,51,F,AF,AF,AF
2017,2017,2003,15,M,AF,AF,AF
2017,2017,1988,29,M,AF,AF,AF
2017,2017,1996,21,F,AF,AF,AF
2017,2017,2015,2,M,AF,AF,AF
2017,2017,1988,29,F,BM,MY,RG
2017,2017,1997,20,M,BM,MY,RG
2017,2017,2000,16,M,BM,MY,RG
2017,2017,1984,32,M,BM,MY,CN
2017,2017,1991,26,F,BM,MY,CN
2017,2017,1968,49,M,BM,MY,RG
2017,2017,1999,18,M,BM,ID,BM
2017,2017,1998,19,M,BM,TH,BM
2017,2017,1996,21,M,BM,TH,BM
2017,2017,1992,25,M,BM,TH,KA
2017,2017,1992,25,F,BM,TH,KA
2017,2017,1984,32,F,BM,TH,BM
2017,2017,1985,32,M,BM,TH,BM
2017,2017,1990,26,M,BM,TH,KA
2017,2017,1969,48,M,BM,TH,KA
2017,2017,1960,57,F,BM,TH,KA
2017,2017,1977,40,M,BM,TH,KRI
2017,2017,1959,58,M,BM,TH,KA
2017,2017,1954,63,M,BM,TH,KA
2017,2017,1957,60,F,BM,TH,KA
2017,2017,1993,24,M,BM,TH,KA
2017,2017,1997,20,F,BM,TH,KA
2017,2017,1994,23,F,BM,TH,BM
2017,2017,1980,37,M,BM,MY,BM
2017,2017,1982,35,F,BM,BM,CN
2017,2017,2006,11,F,BM,BM,CN
2017,2017,2007,9,M,BM,BM,CN
2017,2017,2005,12,F,BM,BM,CN
2017,2016,1976,41,M,BM,MY,BM
2017,2016,1997,20,M,BM,MY,BM
2017,2016,1983,33,M,BM,MY,BM
2017,2016,1982,35,F,BM,MY,BM
2017,2016,1982,35,M,BM,MY,BM
2017,2016,1991,26,F,BM,MY,BM
2017,2016,1990,26,M,BM,MY,CN
2017,2016,1994,22,F,BM,MY,CN
2017,2016,1986,30,M,BM,MY,RG
2017,2016,1990,27,F,BM,TH,RG
2017,2016,2008,9,F,BM,TH,RG
2017,2016,2010,7,F,BM,TH,RG
2017,2016,2012,5,F,BM,TH,RG
2017,2016,2006,11,M,BM,TH,RG
2017,2016,1990,27,M,BM,TH,KA
2017,2016,1990,27,F,BM,TH,KA
2017,2017,1975,42,M,BM,MY,BM
2017,2017,1960,57,M,BM,TH,BM
2017,2017,1982,35,F,BM,TH,BM
2017,2017,2009,8,F,BM,TH,BM
2017,2017,2013,4,F,BM,TH,BM
2017,2017,1935,82,F,BM,TH,KRI
2017,2017,1992,25,M,BM,MY,BM
2017,2017,1986,31,F,BM,BM,BM
2017,2017,1992,26,M,BM,BM,BM
2017,2017,2012,5,F,BM,BM,BM
2017,2017,2015,3,F,BM,BM,BM
2017,2017,1991,26,M,BT,NP,BT
2017,2017,1970,47,F,BT,NP,BT
2017,2017,1978,39,F,BT,NP,BT
2017,2017,1985,32,M,BT,NP,BT
2017,2016,1978,39,M,BT,NP,BT
2017,2016,1976,41,F,BT,NP,BT
2017,2016,1973,44,F,BT,NP,BT
2017,2016,1937,80,M,BT,NP,BT
2017,2017,1974,44,M,BT,NP,BT
2017,2017,1987,31,M,BT,NP,BT
2017,2017,1991,27,F,BT,NP,BT
2017,2017,1961,57,F,BT,NP,BT
2017,2017,2000,17,F,BY,BY,DC
2017,2017,2003,14,F,BY,BY,DC
2017,2017,2005,12,F,BY,BY,DC
2017,2017,2008,9,M,BY,BY,DC
2017,2017,2011,6,M,BY,BY,DC
2017,2017,2014,3,F,BY,BY,DC
2017,2017,1969,48,F,BY,BY,DC
2017,2017,2008,9,F,BY,BY,DC
2017,2016,1988,28,M,BY,UG,BY
2017,2016,2007,10,F,BY,UG,BY
2017,2016,1981,35,F,BY,ZI,BY
2017,2016,2001,15,M,BY,ZI,BY
2017,2016,1951,66,M,BY,TZ,BY
2017,2016,1971,46,F,BY,TZ,BY
2017,2017,2011,6,F,CD,CD,CT
2017,2017,2004,13,M,CG,UG,DC
2017,2017,1997,21,F,CG,CG,RW
2017,2016,2011,5,F,CM,CM,CT
2017,2016,2013,3,M,CM,CM,CT
2017,2017,1999,18,M,CO,UG,DC
2017,2017,1991,26,F,CT,CD,CT
2017,2016,1984,33,M,CT,CM,CT
2017,2016,2005,12,M,CT,CM,CT
2017,2016,2007,10,M,CT,CM,CT
2017,2016,2007,10,M,CT,CM,CT
2017,2016,1992,25,M,CT,CD,CT
2017,2016,1988,29,M,CT,CM,CT
2017,2017,1988,29,F,CU,CU,CU
2017,2017,1987,29,M,CU,CU,CU
2017,2017,1961,55,F,CU,MX,CU
2017,2017,1967,49,F,CU,MX,CU
2017,2017,1986,31,F,CU,MX,CU
2017,2017,1956,61,M,CU,MX,CU
2017,2017,1967,50,F,CU,CU,CU
2017,2017,1971,46,F,CU,CU,CU
2017,2017,1967,50,M,CU,CU,CU
2017,2017,1966,51,M,CU,MX,CU
2017,2017,1985,32,M,CU,MX,CU
2017,2016,1986,30,M,CU,MX,CU
2017,2016,1986,31,F,CU,BR,CU
2017,2016,1986,31,M,CU,MX,CU
2017,2016,1973,43,M,CU,MX,CU
2017,2016,1954,63,F,CU,MX,CU
2017,2016,1988,28,F,CU,MX,CU
2017,2016,1993,23,F,CU,CU,CU
2017,2016,1988,29,M,CU,CU,CU
2017,2016,1976,40,M,CU,CU,CU
2017,2016,1976,40,F,CU,CU,CU
2017,2016,1990,27,M,CU,CU,CU
2017,2016,1963,54,M,CU,MX,CU
2017,2016,1984,32,M,CU,MX,CU
2017,2016,1993,23,F,CU,CU,CU
2017,2016,1987,30,M,CU,MX,CU
2017,2016,1993,24,M,CU,CU,CU
2017,2016,1972,45,F,CU,CU,CU
2017,2016,2002,14,F,CU,CU,CU
2017,2016,2016,0,M,CU,CU,CU
2017,2016,1995,22,F,CU,MX,CU
2017,2016,1977,39,M,CU,MX,CU
2017,2017,1978,39,M,CU,CU,CU
2017,2017,2006,11,M,CU,CU,CU
2017,2017,1988,29,M,CU,MX,CU
2017,2017,1994,23,F,DC,KE,DC
2017,2017,2004,12,M,DC,DC,DC
2017,2017,1999,17,F,DC,DC,KE
2017,2017,1980,37,F,DC,RW,DC
2017,2017,1972,45,M,DC,RW,DC
2017,2017,1993,24,F,DC,ZA,DC
2017,2017,1968,48,F,DC,BY,DC
2017,2017,1960,57,M,DC,BY,DC
2017,2017,1990,27,F,DC,TZ,DC
2017,2017,1989,28,M,DC,BY,DC
2017,2017,1961,56,M,DC,BY,DC
2017,2017,1996,21,F,DC,BY,DC
2017,2017,1998,18,F,DC,BY,DC
2017,2017,2008,9,M,DC,BY,DC
2017,2017,1992,24,M,DC,BY,DC
2017,2017,1994,23,M,DC,BY,DC
2017,2017,1970,46,M,DC,UG,DC
2017,2017,1998,19,M,DC,KE,DC
2017,2017,2000,17,M,DC,KE,DC
2017,2017,1994,23,M,DC,UG,DC
2017,2017,1990,27,F,DC,BY,DC
2017,2017,1999,17,F,DC,MA,DC
2017,2017,1940,77,F,DC,UG,DC
2017,2017,1991,26,M,DC,UG,DC
2017,2017,1993,24,F,DC,UG,DC
2017,2017,1965,52,M,DC,UG,DC
2017,2017,1967,50,F,DC,UG,DC
2017,2017,1975,42,F,DC,TZ,DC
2017,2017,2008,9,M,DC,RW,DC
2017,2017,1993,24,M,DC,RW,DC
2017,2017,1995,22,F,DC,RW,DC
2017,2017,1935,82,M,DC,RW,DC
2017,2017,1988,29,F,DC,RW,DC
2017,2017,1991,26,M,DC,DC,DC
2017,2017,1950,67,F,DC,RW,DC
2017,2017,1997,20,F,DC,RW,DC
2017,2017,1946,71,F,DC,RW,DC
2017,2017,1992,25,F,DC,RW,DC
2017,2017,1964,53,M,DC,DC,DC
2017,2017,1977,40,M,DC,RW,DC
2017,2017,1977,39,F,DC,RW,DC
2017,2017,1970,47,F,DC,RW,DC
2017,2017,1983,34,F,DC,RW,DC
2017,2017,1977,40,M,DC,RW,DC
2017,2017,1991,26,F,DC,RW,DC
2017,2017,1977,40,F,DC,RW,DC
2017,2017,1965,52,F,DC,RW,DC
2017,2017,1996,21,F,DC,RW,DC
2017,2017,1974,43,M,DC,UG,DC
2017,2017,2002,15,M,DC,TZ,DC
2017,2017,1978,39,F,DC,UG,DC
2017,2017,1998,19,M,DC,UG,DC
2017,2017,1966,51,F,DC,DC,DC
2017,2017,1996,21,M,DC,DC,DC
