yoa	country	gender	perc
2006	AB	F	0.0
2006	AB	M	0.0
2006	AF	F	0.0
2006	AF	M	0.0
2006	AJ	F	0.0182
2006	AJ	M	0.0
2006	AK	F	0.0
2006	AK	M	0.0
2006	AM	F	0.0
2006	AM	M	0.0
2006	AO	F	0.0
2006	AO	M	0.0
2006	AR	F	0.0
2006	AR	M	0.0156
2006	AU	F	0.0
2006	AU	M	0.0
2006	BA	F	0.0
2006	BA	M	0.0
2006	BC	F	0.0
2006	BC	M	0.0
2006	BE	F	0.0
2006	BE	M	0.0
2006	BK	F	0.0
2006	BK	M	0.0
2006	BM	F	0.0545
2006	BM	M	0.0781
2006	BO	F	0.0
2006	BO	M	0.0
2006	BR	F	0.0
2006	BR	M	0.0
2006	BT	F	0.0
2006	BT	M	0.0
2006	BY	F	0.0
2006	BY	M	0.0
2006	CB	F	0.0
2006	CB	M	0.0
2006	CD	F	0.0
2006	CD	M	0.0
2006	CE	F	0.0
2006	CE	M	0.0
2006	CG	F	0.0
2006	CG	M	0.0
2006	CH	F	0.0
2006	CH	M	0.0
2006	CI	F	0.0
2006	CI	M	0.0
2006	CM	F	0.0
2006	CM	M	0.0
2006	CN	F	0.0
2006	CN	M	0.0
2006	CO	F	0.0
2006	CO	M	0.0
2006	CT	F	0.0
2006	CT	M	0.0
2006	CU	F	0.2
2006	CU	M	0.1094
2006	DA	F	0.0
2006	DA	M	0.0
2006	DC	F	0.0
2006	DC	M	0.0
2006	DJ	F	0.0
2006	DJ	M	0.0
2006	EC	F	0.0
2006	EC	M	0.0
2006	EG	F	0.0
2006	EG	M	0.0156
2006	ER	F	0.0
2006	ER	M	0.0156
2006	ET	F	0.0
2006	ET	M	0.0
2006	GA	F	0.0
2006	GA	M	0.0
2006	GB	F	0.0
2006	GB	M	0.0
2006	GG	F	0.0
2006	GG	M	0.0
2006	GH	F	0.0
2006	GH	M	0.0
2006	GT	F	0.0
2006	GT	M	0.0
2006	GU	F	0.0
2006	GU	M	0.0
2006	HA	F	0.0364
2006	HA	M	0.0156
2006	HK	F	0.0
2006	HK	M	0.0
2006	HO	F	0.0
2006	HO	M	0.0
2006	ID	F	0.0182
2006	ID	M	0.0
2006	IN	F	0.0
2006	IN	M	0.0
2006	IR	F	0.0182
2006	IR	M	0.0156
2006	IS	F	0.0
2006	IS	M	0.0
2006	IV	F	0.0
2006	IV	M	0.0156
2006	IZ	F	0.0
2006	IZ	M	0.0
2006	JO	F	0.0
2006	JO	M	0.0
2006	KA	F	0.0
2006	KA	M	0.0
2006	KC	F	0.0
2006	KC	M	0.0
2006	KE	F	0.0727
2006	KE	M	0.0781
2006	KG	F	0.0
2006	KG	M	0.0
2006	KM	F	0.0
2006	KM	M	0.0
2006	KN	F	0.0
2006	KN	M	0.0
2006	KRI	F	0.0
2006	KRI	M	0.0
2006	KU	F	0.0
2006	KU	M	0.0
2006	KZ	F	0.0182
2006	KZ	M	0.0
2006	LA	F	0.0
2006	LA	M	0.0
2006	LE	F	0.0
2006	LE	M	0.0156
2006	LI	F	0.0
2006	LI	M	0.0156
2006	LO	F	0.0
2006	LO	M	0.0
2006	LY	F	0.0
2006	LY	M	0.0
2006	MA	F	0.0
2006	MA	M	0.0156
2006	MD	F	0.0
2006	MD	M	0.0
2006	MI	F	0.0
2006	MI	M	0.0
2006	MLT	F	0.0
2006	MLT	M	0.0
2006	MM	F	0.0
2006	MM	M	0.0
2006	MO	F	0.0
2006	MO	M	0.0
2006	MT	F	0.0
2006	MT	M	0.0
2006	MU	F	0.0
2006	MU	M	0.0
2006	MX	F	0.0
2006	MX	M	0.0
2006	MY	F	0.0
2006	MY	M	0.0
2006	MZ	F	0.0
2006	MZ	M	0.0
2006	NI	F	0.0
2006	NI	M	0.0
2006	NM	F	0.0
2006	NM	M	0.0
2006	NP	F	0.0
2006	NP	M	0.0
2006	PAL	F	0.0
2006	PAL	M	0.0
2006	PE	F	0.0
2006	PE	M	0.0
2006	PH	F	0.0364
2006	PH	M	0.0469
2006	PK	F	0.0
2006	PK	M	0.0156
2006	RG	F	0.0
2006	RG	M	0.0
2006	RO	F	0.0
2006	RO	M	0.0
2006	RS	F	0.0727
2006	RS	M	0.0625
2006	RW	F	0.0
2006	RW	M	0.0
2006	SA	F	0.0
2006	SA	M	0.0
2006	SB	F	0.0
2006	SB	M	0.0
2006	SD	F	0.0
2006	SD	M	0.0
2006	SF	F	0.0
2006	SF	M	0.0
2006	SG	F	0.0
2006	SG	M	0.0
2006	SH	F	0.0
2006	SH	M	0.0
2006	SK	F	0.0
2006	SK	M	0.0
2006	SL	F	0.0
2006	SL	M	0.0
2006	SO	F	0.1273
2006	SO	M	0.1875
2006	SR	F	0.0
2006	SR	M	0.0
2006	SSU	F	0.0
2006	SSU	M	0.0
2006	SU	F	0.0364
2006	SU	M	0.0312
2006	SY	F	0.0
2006	SY	M	0.0
2006	TB	F	0.0
2006	TB	M	0.0
2006	TH	F	0.0545
2006	TH	M	0.0312
2006	TO	F	0.0
2006	TO	M	0.0156
2006	TS	F	0.0
2006	TS	M	0.0
2006	TU	F	0.0
2006	TU	M	0.0
2006	TX	F	0.0
2006	TX	M	0.0
2006	TZ	F	0.0
2006	TZ	M	0.0
2006	UG	F	0.0
2006	UG	M	0.0
2006	UP	F	0.0
2006	UP	M	0.0
2006	UZ	F	0.1455
2006	UZ	M	0.2031
2006	VE	F	0.0
2006	VE	M	0.0
2006	VN	F	0.0182
2006	VN	M	0.0
2006	YM	F	0.0727
2006	YM	M	0.0
2006	YO	F	0.0
2006	YO	M	0.0
2006	ZA	F	0.0
2006	ZA	M	0.0
2006	ZI	F	0.0
2006	ZI	M	0.0
2006	ZR	F	0.0
2006	ZR	M	0.0
2007	AB	F	0.0
2007	AB	M	0.0
2007	AF	F	0.0
2007	AF	M	0.0
2007	AJ	F	0.0
2007	AJ	M	0.0
2007	AK	F	0.0
2007	AK	M	0.0
2007	AM	F	0.0
2007	AM	M	0.0
2007	AO	F	0.0
2007	AO	M	0.0
2007	AR	F	0.0023
2007	AR	M	0.0
2007	AU	F	0.0
2007	AU	M	0.0
2007	BA	F	0.0
2007	BA	M	0.0
2007	BC	F	0.0
2007	BC	M	0.0
2007	BE	F	0.0
2007	BE	M	0.0
2007	BK	F	0.0
2007	BK	M	0.004
2007	BM	F	0.2128
2007	BM	M	0.2435
2007	BO	F	0.0
2007	BO	M	0.0
2007	BR	F	0.0
2007	BR	M	0.0
2007	BT	F	0.0
2007	BT	M	0.0
2007	BY	F	0.0458
2007	BY	M	0.0443
2007	CB	F	0.0
2007	CB	M	0.0
2007	CD	F	0.0
2007	CD	M	0.0
2007	CE	F	0.0
2007	CE	M	0.0
2007	CG	F	0.0046
2007	CG	M	0.002
2007	CH	F	0.0023
2007	CH	M	0.0
2007	CI	F	0.0
2007	CI	M	0.0
2007	CM	F	0.0
2007	CM	M	0.0
2007	CN	F	0.0
2007	CN	M	0.0
2007	CO	F	0.0
2007	CO	M	0.0
2007	CT	F	0.0
2007	CT	M	0.0
2007	CU	F	0.0183
2007	CU	M	0.0161
2007	DA	F	0.0
2007	DA	M	0.0
2007	DC	F	0.0046
2007	DC	M	0.008
2007	DJ	F	0.0
2007	DJ	M	0.0
2007	EC	F	0.0
2007	EC	M	0.0
2007	EG	F	0.0
2007	EG	M	0.0
2007	ER	F	0.0114
2007	ER	M	0.0241
2007	ET	F	0.016
2007	ET	M	0.0141
2007	GA	F	0.0
2007	GA	M	0.0
2007	GB	F	0.0
2007	GB	M	0.0
2007	GG	F	0.0
2007	GG	M	0.0
2007	GH	F	0.0
2007	GH	M	0.0
2007	GT	F	0.0
2007	GT	M	0.0
2007	GU	F	0.0023
2007	GU	M	0.002
2007	HA	F	0.0
2007	HA	M	0.0
2007	HK	F	0.0
2007	HK	M	0.0
2007	HO	F	0.0
2007	HO	M	0.0
2007	ID	F	0.0
2007	ID	M	0.0
2007	IN	F	0.0
2007	IN	M	0.0
2007	IR	F	0.103
2007	IR	M	0.1107
2007	IS	F	0.0
2007	IS	M	0.0
2007	IV	F	0.0
2007	IV	M	0.0
2007	IZ	F	0.0366
2007	IZ	M	0.0121
2007	JO	F	0.0
2007	JO	M	0.0
2007	KA	F	0.0
2007	KA	M	0.0
2007	KC	F	0.0
2007	KC	M	0.0
2007	KE	F	0.0847
2007	KE	M	0.0825
2007	KG	F	0.0
2007	KG	M	0.0
2007	KM	F	0.0
2007	KM	M	0.0
2007	KN	F	0.0
2007	KN	M	0.002
2007	KRI	F	0.0
2007	KRI	M	0.0
2007	KU	F	0.0
2007	KU	M	0.0
2007	KZ	F	0.0
2007	KZ	M	0.0
2007	LA	F	0.0
2007	LA	M	0.0
2007	LE	F	0.0
2007	LE	M	0.0
2007	LI	F	0.0137
2007	LI	M	0.0141
2007	LO	F	0.0
